"","keyword","date","hits"
"291","commit suicide",2020-02-16,86
"292","commit suicide",2020-02-23,73
"293","commit suicide",2020-03-01,65
"294","commit suicide",2020-03-08,61
"295","commit suicide",2020-03-15,47
"296","commit suicide",2020-03-22,51
"297","commit suicide",2020-03-29,59
"298","commit suicide",2020-04-05,56
"299","commit suicide",2020-04-12,61
"300","commit suicide",2020-04-19,59
"301","unemployment",2019-03-03,4
"302","unemployment",2019-03-10,4
"303","unemployment",2019-03-17,4
"304","unemployment",2019-03-24,4
"305","unemployment",2019-03-31,4
"306","unemployment",2019-04-07,4
"307","unemployment",2019-04-14,4
"308","unemployment",2019-04-21,4
"309","unemployment",2019-04-28,4
"310","unemployment",2019-05-05,4
"311","unemployment",2019-05-12,4
"312","unemployment",2019-05-19,4
"313","unemployment",2019-05-26,4
"314","unemployment",2019-06-02,4
"315","unemployment",2019-06-09,4
"316","unemployment",2019-06-16,4
"317","unemployment",2019-06-23,4
"318","unemployment",2019-06-30,4
"319","unemployment",2019-07-07,4
"320","unemployment",2019-07-14,4
"321","unemployment",2019-07-21,4
"322","unemployment",2019-07-28,4
"323","unemployment",2019-08-04,4
"324","unemployment",2019-08-11,4
"325","unemployment",2019-08-18,4
"326","unemployment",2019-08-25,3
"327","unemployment",2019-09-01,3
"328","unemployment",2019-09-08,3
"329","unemployment",2019-09-15,3
"330","unemployment",2019-09-22,4
"331","unemployment",2019-09-29,4
"332","unemployment",2019-10-06,4
"333","unemployment",2019-10-13,4
"334","unemployment",2019-10-20,4
"335","unemployment",2019-10-27,4
"336","unemployment",2019-11-03,4
"337","unemployment",2019-11-10,4
"338","unemployment",2019-11-17,4
"339","unemployment",2019-11-24,3
"340","unemployment",2019-12-01,5
"341","unemployment",2019-12-08,4
"342","unemployment",2019-12-15,5
"343","unemployment",2019-12-22,4
"344","unemployment",2019-12-29,5
"345","unemployment",2020-01-05,5
"346","unemployment",2020-01-12,5
"347","unemployment",2020-01-19,5
"348","unemployment",2020-01-26,5
"349","unemployment",2020-02-02,5
"350","unemployment",2020-02-09,5
"351","unemployment",2020-02-16,5
"352","unemployment",2020-02-23,4
"353","unemployment",2020-03-01,4
"354","unemployment",2020-03-08,5
"355","unemployment",2020-03-15,41
"356","unemployment",2020-03-22,74
"357","unemployment",2020-03-29,100
"358","unemployment",2020-04-05,92
"359","unemployment",2020-04-12,93
"360","unemployment",2020-04-19,84
"361","i lost my job",2019-03-03,20
"362","i lost my job",2019-03-10,21
"363","i lost my job",2019-03-17,20
"364","i lost my job",2019-03-24,16
"365","i lost my job",2019-03-31,23
"366","i lost my job",2019-04-07,27
"367","i lost my job",2019-04-14,21
"368","i lost my job",2019-04-21,19
"369","i lost my job",2019-04-28,25
"370","i lost my job",2019-05-05,19
"371","i lost my job",2019-05-12,31
"372","i lost my job",2019-05-19,27
"373","i lost my job",2019-05-26,31
"374","i lost my job",2019-06-02,17
"375","i lost my job",2019-06-09,18
"376","i lost my job",2019-06-16,21
"377","i lost my job",2019-06-23,29
"378","i lost my job",2019-06-30,29
"379","i lost my job",2019-07-07,17
"380","i lost my job",2019-07-14,29
"381","i lost my job",2019-07-21,22
"382","i lost my job",2019-07-28,21
"383","i lost my job",2019-08-04,16
"384","i lost my job",2019-08-11,24
"385","i lost my job",2019-08-18,22
"386","i lost my job",2019-08-25,20
"387","i lost my job",2019-09-01,14
"388","i lost my job",2019-09-08,15
"389","i lost my job",2019-09-15,19
"390","i lost my job",2019-09-22,17
"391","i lost my job",2019-09-29,22
"392","i lost my job",2019-10-06,19
"393","i lost my job",2019-10-13,24
"394","i lost my job",2019-10-20,13
"395","i lost my job",2019-10-27,28
"396","i lost my job",2019-11-03,28
"397","i lost my job",2019-11-10,20
"398","i lost my job",2019-11-17,19
"399","i lost my job",2019-11-24,26
"400","i lost my job",2019-12-01,11
"401","i lost my job",2019-12-08,18
"402","i lost my job",2019-12-15,15
"403","i lost my job",2019-12-22,24
"404","i lost my job",2019-12-29,16
"405","i lost my job",2020-01-05,19
"406","i lost my job",2020-01-12,19
"407","i lost my job",2020-01-19,22
"408","i lost my job",2020-01-26,18
"409","i lost my job",2020-02-02,20
"410","i lost my job",2020-02-09,19
"411","i lost my job",2020-02-16,31
"412","i lost my job",2020-02-23,16
"413","i lost my job",2020-03-01,23
"414","i lost my job",2020-03-08,20
"415","i lost my job",2020-03-15,98
"416","i lost my job",2020-03-22,100
"417","i lost my job",2020-03-29,85
"418","i lost my job",2020-04-05,95
"419","i lost my job",2020-04-12,71
"420","i lost my job",2020-04-19,49
"421","laid off",2019-03-03,3
"422","laid off",2019-03-10,3
"423","laid off",2019-03-17,3
"424","laid off",2019-03-24,3
"425","laid off",2019-03-31,3
"426","laid off",2019-04-07,2
"427","laid off",2019-04-14,3
"428","laid off",2019-04-21,2
"429","laid off",2019-04-28,3
"430","laid off",2019-05-05,3
"431","laid off",2019-05-12,2
"432","laid off",2019-05-19,2
"433","laid off",2019-05-26,2
"434","laid off",2019-06-02,3
"435","laid off",2019-06-09,3
"436","laid off",2019-06-16,3
